year,non_empty_rf,empty_rf,non_empty_mgmt,empty_mgmt,%_non_empty_rf,%_non_empty_mgmt
2005,167,16690,16820,37,0.009906863617488285,0.9978050661446284
2006,13073,3480,16336,217,0.7897662055216577,0.9868905938500574
2007,14569,2306,16649,226,0.8633481481481482,0.9866074074074074
2008,15360,3031,18173,218,0.8351911260942853,0.9881463759447556
2009,15471,2662,17895,238,0.8531958308057134,0.9868747587271824
2010,15231,2306,17341,196,0.8685065860751554,0.9888236300393454
2011,15175,2223,17221,177,0.8722266927233016,0.9898264168295207
2012,14981,1987,16784,184,0.8828972182932578,0.9891560584629892
2013,15478,1923,17218,183,0.8894891098212746,0.9894833630251135
2014,16006,1808,17625,189,0.8985067924104637,0.9893903671269788
2015,15925,1589,17339,175,0.9092725819344525,0.9900079936051159
2016,15429,1411,16648,192,0.9162114014251781,0.9885985748218528
2017,15127,1297,16244,180,0.9210301997077448,0.9890404286410132
2018,15170,1156,16153,173,0.9291926987627098,0.9894034056106823
2019,15121,1101,16068,154,0.9321292072494144,0.990506719270127
2020,15751,584,16167,168,0.9642485460667278,0.9897153351698806
2021,16370,948,17161,157,0.9452592678138353,0.9909342880240213
2022,16891,812,17546,157,0.9541320680110715,0.9911314466474609
2023,17010,824,17639,195,0.9537961197712235,0.9890658293147919
2024,19397,955,20092,260,0.9530758647798742,0.9872248427672956
